images,labels
data/images/70.jpeg,data/labels/70.txt
data/images/40.jpeg,data/labels/40.txt
data/images/63.jpeg,data/labels/63.txt
data/images/24.jpeg,data/labels/24.txt
data/images/64.jpeg,data/labels/64.txt
data/images/61.jpeg,data/labels/61.txt
data/images/77.jpeg,data/labels/77.txt
data/images/5.jpeg,data/labels/5.txt
data/images/28.jpeg,data/labels/28.txt
data/images/73.jpeg,data/labels/73.txt
data/images/35.jpeg,data/labels/35.txt
data/images/2.jpeg,data/labels/2.txt
data/images/30.jpeg,data/labels/30.txt
data/images/7.jpeg,data/labels/7.txt
data/images/75.jpeg,data/labels/75.txt
data/images/15.jpeg,data/labels/15.txt
data/images/14.jpeg,data/labels/14.txt
data/images/31.jpeg,data/labels/31.txt
data/images/67.jpeg,data/labels/67.txt
data/images/16.jpeg,data/labels/16.txt
data/images/33.jpeg,data/labels/33.txt
data/images/11.jpeg,data/labels/11.txt
data/images/36.jpeg,data/labels/36.txt
data/images/39.jpeg,data/labels/39.txt
data/images/20.jpeg,data/labels/20.txt
data/images/59.jpeg,data/labels/59.txt
data/images/45.jpeg,data/labels/45.txt
data/images/23.jpeg,data/labels/23.txt
data/images/18.jpeg,data/labels/18.txt
data/images/69.jpeg,data/labels/69.txt
data/images/21.jpeg,data/labels/21.txt
data/images/47.jpeg,data/labels/47.txt
data/images/58.jpeg,data/labels/58.txt
data/images/53.jpeg,data/labels/53.txt
data/images/19.jpeg,data/labels/19.txt
data/images/44.jpeg,data/labels/44.txt
data/images/26.jpeg,data/labels/26.txt
data/images/17.jpeg,data/labels/17.txt
data/images/9.jpeg,data/labels/9.txt
data/images/22.jpeg,data/labels/22.txt
data/images/42.jpeg,data/labels/42.txt
data/images/60.jpeg,data/labels/60.txt
data/images/27.jpeg,data/labels/27.txt
data/images/62.jpeg,data/labels/62.txt
data/images/76.jpeg,data/labels/76.txt
data/images/10.jpeg,data/labels/10.txt
data/images/13.jpeg,data/labels/13.txt
data/images/6.jpeg,data/labels/6.txt
data/images/37.jpeg,data/labels/37.txt
data/images/74.jpeg,data/labels/74.txt
data/images/12.jpeg,data/labels/12.txt
data/images/38.jpeg,data/labels/38.txt
data/images/65.jpeg,data/labels/65.txt
data/images/48.jpeg,data/labels/48.txt
data/images/66.jpeg,data/labels/66.txt
