images,labels
unified_dataset/images/gadgil_57.jpeg,unified_dataset/labels/gadgil_57.txt
unified_dataset/images/gadgil_46.jpeg,unified_dataset/labels/gadgil_46.txt
unified_dataset/images/gadgil_73.jpeg,unified_dataset/labels/gadgil_73.txt
unified_dataset/images/WhatsApp Image 2026-02-02 at 22.23.48.jpeg,unified_dataset/labels/WhatsApp Image 2026-02-02 at 22.23.48.txt
unified_dataset/images/gadgil_21.jpeg,unified_dataset/labels/gadgil_21.txt
unified_dataset/images/gadgil_15.jpeg,unified_dataset/labels/gadgil_15.txt
unified_dataset/images/WhatsApp Image 2026-02-02 at 17.07.44 (2).jpeg,unified_dataset/labels/WhatsApp Image 2026-02-02 at 17.07.44 (2).txt
unified_dataset/images/gadgil_59.jpeg,unified_dataset/labels/gadgil_59.txt
unified_dataset/images/WhatsApp Image 2026-02-03 at 19.54.25 (1).jpeg,unified_dataset/labels/WhatsApp Image 2026-02-03 at 19.54.25 (1).txt
unified_dataset/images/gadgil_48.jpeg,unified_dataset/labels/gadgil_48.txt
unified_dataset/images/gadgil_63.jpeg,unified_dataset/labels/gadgil_63.txt
unified_dataset/images/WhatsApp Image 2026-02-03 at 18.39.38 (1).jpeg,unified_dataset/labels/WhatsApp Image 2026-02-03 at 18.39.38 (1).txt
unified_dataset/images/gadgil_39.jpeg,unified_dataset/labels/gadgil_39.txt
unified_dataset/images/gadgil_72.jpeg,unified_dataset/labels/gadgil_72.txt
unified_dataset/images/gadgil_38.jpeg,unified_dataset/labels/gadgil_38.txt
unified_dataset/images/gadgil_74.jpeg,unified_dataset/labels/gadgil_74.txt
unified_dataset/images/gadgil_36.jpeg,unified_dataset/labels/gadgil_36.txt
unified_dataset/images/gadgil_29.jpeg,unified_dataset/labels/gadgil_29.txt
unified_dataset/images/gadgil_51.jpeg,unified_dataset/labels/gadgil_51.txt
unified_dataset/images/gadgil_19.jpeg,unified_dataset/labels/gadgil_19.txt
unified_dataset/images/gadgil_42.jpeg,unified_dataset/labels/gadgil_42.txt
unified_dataset/images/gadgil_58.jpeg,unified_dataset/labels/gadgil_58.txt
unified_dataset/images/gadgil_32.jpeg,unified_dataset/labels/gadgil_32.txt
unified_dataset/images/gadgil_20.jpeg,unified_dataset/labels/gadgil_20.txt
unified_dataset/images/gadgil_66.jpeg,unified_dataset/labels/gadgil_66.txt
unified_dataset/images/gadgil_53.jpeg,unified_dataset/labels/gadgil_53.txt
unified_dataset/images/gadgil_76.jpeg,unified_dataset/labels/gadgil_76.txt
unified_dataset/images/WhatsApp Image 2026-02-02 at 22.23.48 (1).jpeg,unified_dataset/labels/WhatsApp Image 2026-02-02 at 22.23.48 (1).txt
unified_dataset/images/gadgil_25.jpeg,unified_dataset/labels/gadgil_25.txt
